News Name,Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,News Name Suffix
calvinayre.com,270,270,270,270,270,270,234,234,149,109,270,270,270,270,270,270,270,270,270,270,270,232,232,232,79,232,232,232,270,268,268,268,98,268,268,268,270,270,270,270,270,270
www.livemint.com,268,268,268,268,268,268,249,249,141,141,268,268,268,268,268,268,268,268,268,268,268,246,246,246,116,246,246,246,268,265,265,265,130,265,265,265,268,268,268,268,268,268
www.benzinga.com,265,265,265,265,265,265,240,240,148,141,265,265,265,265,265,265,265,265,265,265,265,216,216,216,57,216,216,216,265,240,240,240,64,240,240,240,265,265,265,265,265,265
uk.reuters.com,260,260,260,260,260,260,249,249,162,137,260,260,260,260,260,260,260,260,260,260,260,244,244,244,133,244,244,244,260,255,255,255,130,255,255,255,260,260,260,260,260,260
www.theverge.com,258,258,258,258,258,258,235,235,139,123,258,258,258,258,258,258,258,258,258,258,258,226,226,226,58,226,226,226,258,249,249,249,59,249,249,249,258,258,258,258,258,258
www.mindanews.com,257,257,257,257,257,257,239,239,148,138,257,257,257,257,257,257,257,257,257,257,257,232,232,232,231,232,232,232,257,250,250,250,249,250,250,250,257,257,257,257,257,257
www.wsj.com,252,252,252,252,252,252,232,232,111,156,252,252,252,252,252,252,252,252,252,252,252,231,231,231,132,231,231,231,252,251,251,251,136,251,251,251,252,252,252,252,252,252
www.justicenewsflash.com,252,252,252,252,252,252,241,241,125,148,252,252,252,252,252,252,252,252,252,252,252,234,234,234,65,234,234,234,252,245,245,245,71,245,245,245,252,252,252,252,252,252
coingeek.com,248,248,248,248,248,248,227,227,145,107,248,248,248,248,248,248,248,248,248,248,248,221,221,221,70,221,221,221,248,242,242,242,79,242,242,242,248,248,248,248,248,248
seekingalpha.com,242,242,242,242,242,242,214,214,118,143,242,242,242,242,242,242,242,242,242,242,242,214,214,214,50,214,214,214,242,242,242,242,57,242,242,242,242,242,242,242,242,242
www.thenassauguardian.com,236,236,236,236,236,236,202,202,85,129,236,236,236,236,236,236,236,236,236,236,236,202,202,202,196,202,202,202,236,236,236,236,228,236,236,236,236,236,236,236,236,236
www.valuewalk.com,233,233,233,233,233,233,223,223,138,122,233,233,233,233,233,233,233,233,233,233,233,220,220,220,59,220,220,220,233,230,230,230,59,230,230,230,233,233,233,233,233,233
www.ndtv.com,232,232,232,232,232,232,219,219,103,146,232,232,232,232,232,232,232,232,232,232,232,214,214,214,111,214,214,214,232,226,226,226,106,226,226,226,232,232,232,232,232,232
