News Name,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,Count
finbold.com,145,145,145,145,145,139,139,85,76,145,145,145,145,145,145,145,145,145,145,145,139,139,139,75,139,139,139,145,145,145,145,75,145,145,145,145,145,145,145,145,145
themerkle.com,145,145,145,145,145,138,138,89,67,145,145,145,145,145,145,145,145,145,145,145,134,134,134,69,134,134,134,145,140,140,140,70,140,140,140,145,145,145,145,145,145
www.barrons.com,145,145,145,145,145,134,134,72,78,145,145,145,145,145,145,145,145,145,145,145,132,132,132,54,132,132,132,145,143,143,143,58,143,143,143,145,145,145,145,145,145
www.rt.com,145,145,145,145,145,129,129,77,71,145,145,145,145,145,145,145,145,145,145,145,127,127,127,36,127,127,127,145,143,143,143,41,143,143,143,145,145,145,145,145,145
www.forexminute.com,144,144,144,144,144,129,129,68,75,144,144,144,144,144,144,144,144,144,144,144,123,123,123,41,123,123,123,144,135,135,135,46,135,135,135,144,144,144,144,144,144
www.ndtv.com,143,143,143,143,143,130,130,71,70,143,143,143,143,143,143,143,143,143,143,143,129,130,130,61,129,129,130,143,142,143,143,62,142,142,143,143,143,143,143,143,143
www.thisdaylive.com,142,142,142,142,142,129,129,67,83,142,142,142,142,142,142,142,142,142,142,142,88,88,88,52,88,88,88,142,99,99,99,57,99,99,99,142,142,142,142,142,142
www.nydailynews.com,139,139,139,139,139,135,135,64,89,139,139,139,139,139,139,139,139,139,139,139,131,131,131,37,131,131,131,139,134,134,134,33,134,134,134,139,139,139,139,139,139
thenationonlineng.net,139,139,139,139,139,125,125,62,82,139,139,139,139,139,139,139,139,139,139,139,88,88,88,43,88,88,88,139,100,100,100,47,100,100,100,139,139,139,139,139,139
in.reuters.com,137,137,137,137,137,124,124,76,73,137,137,137,137,137,137,137,137,137,137,137,119,119,119,35,119,119,119,137,132,132,132,35,132,132,132,137,137,137,137,137,137
www.fool.com,136,136,136,136,136,129,129,80,60,136,136,136,136,136,136,136,136,136,136,136,126,126,126,57,126,126,126,136,132,132,132,61,132,132,132,136,136,136,136,136,136
www.bloombergquint.com,135,135,135,135,135,123,123,68,70,135,135,135,135,135,135,135,135,135,135,135,122,122,122,42,122,122,122,135,133,133,133,46,133,133,133,135,135,135,135,135,135
motherboard.vice.com,131,131,131,131,131,120,120,71,62,131,131,131,131,131,131,131,131,131,131,131,114,114,114,38,114,114,114,131,125,125,125,40,125,125,125,131,131,131,131,131,131
es.cointelegraph.com,130,130,130,130,130,121,121,82,63,130,130,130,130,130,130,130,130,130,130,130,121,121,121,43,121,121,121,130,130,130,130,47,130,130,130,130,130,130,130,130,130
beincrypto.com,129,129,129,129,129,115,115,65,67,129,129,129,129,129,129,129,129,129,129,129,110,110,110,60,110,110,110,129,122,122,122,59,122,122,122,129,129,129,129,129,129
asia.nikkei.com,129,129,129,129,129,118,118,72,57,129,129,129,129,129,129,129,129,129,129,129,113,113,113,49,113,113,113,129,124,124,124,56,124,124,124,129,129,129,129,129,129
www.wired.com,129,129,129,129,129,120,120,72,61,129,129,129,129,129,129,129,129,129,129,129,120,120,120,50,120,120,120,129,128,128,128,49,128,128,128,129,129,129,129,129,129
www.banklesstimes.com,128,128,128,128,128,113,113,68,62,128,128,128,128,128,128,128,128,128,128,128,109,109,109,44,109,109,109,128,123,123,123,40,123,123,123,128,128,128,128,128,128
www.sott.net,127,127,127,127,127,117,117,69,65,127,127,127,127,127,127,127,127,127,127,127,115,115,115,44,115,115,115,127,124,124,124,48,124,124,124,127,127,127,127,127,127
www.hindustantimes.com,126,126,126,126,126,114,114,71,54,126,126,126,126,126,126,126,126,126,126,126,114,114,114,59,114,114,114,126,126,126,126,61,126,126,126,126,126,126,126,126,126
www.etftrends.com,126,126,126,126,126,117,117,75,57,126,126,126,126,126,126,126,126,126,126,126,115,115,115,38,115,115,115,126,123,123,123,39,123,123,123,126,126,126,126,126,126
coinreport.net,125,125,125,125,125,112,112,66,59,125,125,125,125,125,125,125,125,125,125,125,111,111,111,45,111,111,111,125,124,124,124,49,124,124,124,125,125,125,125,125,125
www.independent.ie,125,125,125,125,125,110,110,68,55,125,125,125,125,125,125,125,125,125,125,125,105,105,105,34,105,105,105,125,119,119,119,38,119,119,119,125,125,125,125,125,125
