,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,Count
99,531110882,20160416,201604,2016,2016.2904,JPN,JAPANESE,JPN,,1,10,10,1,1,0.0,8,1,8,-4.12465627864345,1,Syria,SY,SY,,35.0,38.0,SY,0,Syria,SY,SY,,35.0,38.0,SY,20160416074500,http://bravenewcoin.com/news/coincheck-collects-bitcoin-donations-for-kumamoto-earthquake-victims/,coincheck collects bitcoin donations for kumamoto earthquake victims,68,en,1
100,462103363,20150829,201508,2015,2015.6548,CAN,CANADA,CAN,,1,40,40,4,1,1.0,4,1,4,2.51889168765743,4,"Montreal, Quebec, Canada",CA,CA10,12713,45.5,-73.5833,-569541,0,"Montreal, Quebec, Canada",CA,CA10,12713,45.5,-73.5833,-569541,20150829233000,http://www.newsbtc.com/2015/08/29/canadian-pension-funds-omers-ventures-to-invest-in-bitcoin-2-0/,canadian pension funds omers ventures to invest in bitcoin 2 0,62,en,1
101,502627501,20160115,201601,2016,2016.0411,IGOEUREEC,THE EUROPEAN UNION,EUR,IGO,1,71,71,7,2,7.4,3,1,3,0.1890359168242,4,"Paris, RhôAlpes, France",FR,FRB9,16333,48.8667,2.33333,-1445327,0,"Paris, RhôAlpes, France",FR,FRB9,16333,48.8667,2.33333,-1445327,20160115194500,https://bitcoinmagazine.com/articles/chamber-of-digital-commerce-to-hold-blockchain-summit-at-georgetown-1452880564,chamber of digital commerce to hold blockchain summit at georgetown 1452880564,78,en,1
102,479142920,20151026,201510,2015,2015.811,BHS,BAHAMA,BHS,,0,30,30,3,1,4.0,4,1,4,0.67114093959731,4,"Sampson Cay, Black Point, Bahamas, The",BF,BF36,5747,24.2167,-76.4667,-1544132,0,"Sampson Cay, Black Point, Bahamas, The",BF,BF36,5747,24.2167,-76.4667,-1544132,20151026214500,http://www.tribune242.com/news/2015/oct/26/union-feared-btc-prop-cwc/,union feared btc prop cwc,25,en,1
104,499139126,20160104,201601,2016,2016.011,LTU,LITHUANIA,LTU,,1,331,33,3,1,5.2,2,1,2,3.87096774193548,4,"Vilnius, Vilniaus Apskritis, Lithuania",LH,LH65,19171,54.6833,25.3167,-2620663,0,"Vilnius, Vilniaus Apskritis, Lithuania",LH,LH65,19171,54.6833,25.3167,-2620663,20160104061500,http://www.econotimes.com/The-Bitcoin-Conference-2016-To-Be-Held-In-Lithuania-On-April-8-137303,The Bitcoin Conference 2016 To Be Held In Lithuania On April 8 137303,69,en,1
107,509966677,20160209,201602,2016,2016.1068,BGR,BULGARIA,BGR,,0,72,72,7,2,8.3,2,1,2,-5.18518518518518,1,Bulgaria,BU,BU,,43.0,25.0,BU,1,Bulgaria,BU,BU,,43.0,25.0,BU,20160209084500,http://www.newsbtc.com/2016/02/09/loanbase-loses-customers-bitcoins-after-security-breach/,loanbase loses customers bitcoins after security breach,55,en,1
109,437056649,20150529,201505,2015,2015.4082,IDN,INDONESIA,IDN,,1,13,13,1,1,0.4,2,1,2,1.70940170940171,1,Indonesia,ID,ID,,-5.0,120.0,ID,1,Indonesia,ID,ID,,-5.0,120.0,ID,20150529140000,http://www.newsbtc.com/2015/05/29/bitxs-multi-currency-trading-platform-to-come-out-next-month/,bitxs multi currency trading platform to come out next month,60,en,1
111,483004895,20151108,201511,2015,2015.8438,,,,,1,14,14,1,1,0.0,2,1,2,0.43149946062568,0,,,,,,,,1,Kenya,KE,KE,,1.0,38.0,KE,20151108181500,http://www.coindesk.com/diebold-blockchain-bitcoin-atm-attempts-flawed/,diebold blockchain bitcoin atm attempts flawed,46,en,1
112,416209051,20150311,201503,2015,2015.1945,ZAF,CAPE TOWN,ZAF,,1,84,84,8,2,7.0,2,1,2,-1.24908155767818,1,Kenya,KE,KE,,1.0,38.0,KE,1,Morocco,MO,MO,,32.0,-5.0,MO,20150311180000,http://akeednews.com/is-bitcoin-africas-unlikely-saviour/,is bitcoin africas unlikely saviour,35,en,1
113,459036432,20150819,201508,2015,2015.6274,EUR,EUROPE,EUR,,0,42,42,4,1,1.9,2,1,2,0.99337748344371,1,Turkey,TU,TU,,39.0,35.0,TU,1,Turkey,TU,TU,,39.0,35.0,TU,20150819094500,http://www.briefingwire.com/pr/computer-programmer-travels-the-world-using-bitcoin,computer programmer travels the world using bitcoin,51,en,1
